cell_id,fg,n_sp,n_rec,iap_t_mean,iap_t_q5,iap_t_q95,bo_sst_mean,bo_sst_q5,bo_sst_q95,bo_sbt_mean,bo_sbt_q5,bo_sbt_q95,species,records,worms_id,rank_name
10617,algae,2,19,12.240710878140463,8.978629262823807,16.89928775335613,10.69312500274607,8.783316128504904,12.15768407520495,10.517550093520526,8.61559678378858,11.99911651862295,NA,NA,NA,NA
10617,benthos,618,9361,NaN,NA,NA,11.528273163187276,9.310950592104192,14.761665010126261,10.835401860614194,8.499652281395592,13.772586498045534,NA,NA,NA,NA
10617,birds,19,83,11.419592836297598,4.186571828069457,17.542563294789876,10.355380048742093,4.961097566550037,14.544733208346079,9.085131191866692,3.6004048244780806,13.197783219096173,NA,NA,NA,NA
10617,fish,62,1057,11.4887230275677,6.1224819265228465,16.58522061191873,11.173139419525372,9.39514494133988,12.972175880953628,9.999905055340855,7.55477742854446,12.149193597764707,NA,NA,NA,NA
10617,macroalgae,194,2949,NaN,NA,NA,11.427720762351708,8.681743733187213,14.575635379045526,10.982406544425853,8.49634224409247,13.896960588486245,NA,NA,NA,NA
10617,mammals,4,22,11.346214513634571,5.139145168391141,17.67458759654652,9.914266612558617,7.254090905189514,14.045454181324352,9.313668995352547,5.9856273382902145,13.163177403536709,NA,NA,NA,NA
10617,nekton,3,14,12.035216704425919,5.811484941414425,17.21455274309431,10.560115859868597,6.9640857057912005,12.513571330479213,10.226998341916499,7.174124616171633,12.343862921851022,NA,NA,NA,NA
10617,reptiles,1,1,20.50778351995043,9.958647155761719,29.33623504638672,19.784851085527706,11.105999946594238,29.14185028076172,7.238094029726469,0.9199463903903962,24.100500106811523,NA,NA,NA,NA
10617,zooplankton,6,27,11.296364199903287,4.928297706886575,16.540220469015615,10.543623635880564,3.2578352162683455,14.154659122890896,9.594741847866931,2.1481999911643843,14.40214663081699,NA,NA,NA,NA
10618,algae,1,2,12.191454038387391,9.057381629943848,17.07225227355957,10.914982269185609,9.692000389099121,12.10099983215332,10.736954241792802,9.654274940490723,11.935099601745605,NA,NA,NA,NA
10618,benthos,85,491,12.919748855320616,8.442841517415406,16.749013575031412,10.7303970024814,8.082746854721893,13.106843826581407,10.333583554112517,7.499180518876753,12.705914946049148,NA,NA,NA,NA
10618,birds,10,51,10.261229487425704,2.4102827198365158,17.012966346740722,9.166732511491455,2.5508999962432712,13.73800012177112,8.167271705851183,1.629004445993433,12.666081101286645,NA,NA,NA,NA
10618,fish,55,1219,10.054550410987186,5.581982786172331,15.255768823897476,11.230882191240646,9.55798843507399,13.398603781136066,9.59703201699568,7.105473730845762,11.842388349483011,NA,NA,NA,NA
10618,macroalgae,64,153,13.412243128098696,8.888249022976247,17.810004979488895,11.346627322824093,8.674521068186541,14.110256524802812,10.927078172157994,8.485280810150446,13.556811451444437,NA,NA,NA,NA
10618,mammals,7,46,15.633555989485698,8.186334791390792,21.452671208588974,12.697043510922999,8.268228193987971,18.053069228711337,11.315738092055904,5.0107623798691705,16.35231741614964,NA,NA,NA,NA
10618,nekton,2,7,14.29049945807701,8.391745431082589,17.790839059012278,11.904139080535286,9.862071241651263,12.946857043675013,11.613415205122127,9.938917091914586,12.704560688563754,NA,NA,NA,NA
10618,reptiles,2,14,21.339395847347703,12.781481293269566,29.094895090375626,19.98148110943685,12.869357109069824,27.691018104553223,11.975701796005072,1.0327637302024024,24.41807120186942,NA,NA,NA,NA
10618,zooplankton,2,2,12.392692383837096,7.171201992034912,17.83391590118407,13.950419734574515,5.492700151354075,19.171974968910213,10.53885355112051,0.7831255286931995,17.02079963684082,NA,NA,NA,NA
10619,benthos,201,1153,12.699747919419158,7.308727994951494,17.68894589003127,11.049874110398568,8.50434006871292,13.92740970278241,10.683320767010834,7.933304337470922,13.446930963643611,NA,NA,NA,NA
10619,birds,14,89,11.004152212866687,4.553351478965095,16.82228172816587,10.358348514663824,5.755686490924171,13.507471877537416,9.311361356497486,4.472590817201339,12.957092162464441,NA,NA,NA,NA
10619,fish,57,1012,11.624469748009435,5.308641339655922,17.42827645973726,11.15249775204108,9.47695967891942,13.141135891812592,10.04682321603675,7.453013030601585,12.233495055969524,NA,NA,NA,NA
10619,macroalgae,27,308,13.13943570915954,8.050613431342237,17.530370023033836,11.023450935758909,8.439670464822225,13.238988872627159,10.763705100350167,8.435636084265523,12.918162273896204,NA,NA,NA,NA
10619,mammals,8,111,15.69670632956826,8.607046471469037,21.214433805792183,12.651019584722155,8.37379275356327,18.144524024413514,11.145819338761608,5.166656978119601,16.302279781650853,NA,NA,NA,NA
10619,nekton,5,11,13.9288223143347,8.021817031231793,18.189781882546164,12.276760486612917,9.545918253606017,13.995327099886806,12.051152179016412,9.526329097084023,13.772714307091452,NA,NA,NA,NA
10619,reptiles,2,21,20.754187172512584,10.795042455764044,29.264726911272323,19.843111833352637,11.6284761428833,28.711974080403646,8.641829664179388,0.9533737503346943,24.194595246087935,NA,NA,NA,NA
10619,zooplankton,4,5,12.861214032227775,8.138279781341552,18.659174995422358,13.442473565015908,9.379850211143495,17.766240234374997,10.99393796539554,6.841928079128266,14.730833711624143,NA,NA,NA,NA
10620,benthos,124,1050,NaN,NA,NA,10.920374179057971,8.53554957217262,13.22955840869177,10.514938145394494,7.9368496195248195,12.740479588644845,NA,NA,NA,NA
10620,birds,13,35,11.407455434493604,4.4895140898227694,17.431353220258437,10.104227146016147,5.085141446420125,13.73862863268171,9.214724213374243,3.8196648512142044,13.363158467156547,NA,NA,NA,NA
10620,fish,86,3839,11.080069532675466,5.638701485767747,16.56443345445492,11.277588948278064,9.800736383622933,13.209129671318886,9.9753621662273,7.6273274965485305,12.06007913058858,NA,NA,NA,NA
10620,macroalgae,33,128,13.307845618490052,8.499381103739143,17.567771535366774,11.199683443309876,8.873256411217152,13.476971547305583,10.881907365391257,8.84133715070784,13.105412355065345,NA,NA,NA,NA
10620,mammals,8,66,15.704256595443763,8.567459367305943,21.40181701255567,12.83902175630352,8.452272666900447,18.306689844709453,11.417808094437913,5.256788086168694,16.61038934100758,NA,NA,NA,NA
10620,nekton,3,5,12.6283182491564,6.278622430562973,17.489215850830078,10.872254029213053,7.7200600558519366,12.623199844360352,10.633080335687747,8.010603571385145,12.405344114303588,NA,NA,NA,NA
